S/N,Name,Category,Outsourced (B),Walk in Patient (C),Hospital Patient (D)
42,ARTHROGRATIS COMPLEX X 30,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
43,ARTHROTEC 75MG/200MCG X 100 TABS,Anaesthetics/Anxiolytics/Emergency Drugs,"₦9,000.00","₦9,000.00","₦9,000.00"
44,VOLTAREN 1% EMULGEL 50G,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,500.00","₦2,500.00","₦2,500.00"
45,HEPATITIS B VACCINE MULTIPLE DOSE,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,000.00","₦2,000.00","₦2,000.00"
46,EMPROFEM SUSP. 100MG/5ML(EMZOR),Anaesthetics/Anxiolytics/Emergency Drugs,₦300.00,₦300.00,₦300.00
47,HCQ,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
48,AZITHROMYCIN USP 500mg,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,500.00","₦2,500.00","₦2,500.00"
49,HYDROXYCHLOROQUINE,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
50,INJECTION DIAZEPAM,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,500.00","₦1,500.00","₦1,500.00"
51,JADELLE,Anaesthetics/Anxiolytics/Emergency Drugs,"₦3,000.00","₦3,000.00","₦3,000.00"
52,SYRUP PARACETAMOL,Anaesthetics/Anxiolytics/Emergency Drugs,₦500.00,₦500.00,₦500.00
53,SYRUP NUROFEN,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,600.00","₦2,600.00","₦2,600.00"
54,AMARTEM SOFT GEL,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,800.00","₦1,800.00","₦1,800.00"
55,INJ DIAZEPAM(10MG),Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,000.00","₦2,000.00","₦2,000.00"
56,TAB LEXOTAN(3MG),Anaesthetics/Anxiolytics/Emergency Drugs,₦500.00,₦500.00,₦500.00
57,INJ ADRENALINE(1MG),Anaesthetics/Anxiolytics/Emergency Drugs,₦500.00,₦500.00,₦500.00
58,TAB PARACETAMOL(CAPLETS) 500MG,Anaesthetics/Anxiolytics/Emergency Drugs,N/A,N/A,N/A
59,INJ OMEPRAZOLE(40MG),Anaesthetics/Anxiolytics/Emergency Drugs,"₦3,000.00","₦3,000.00","₦3,000.00"
60,TAB PROGYNOVA(2MG),Anaesthetics/Anxiolytics/Emergency Drugs,"₦4,000.00","₦4,000.00","₦4,000.00"
61,ADRENALINE INJ (1MG),Anaesthetics/Anxiolytics/Emergency Drugs,₦500.00,₦500.00,₦500.00
62,INJ ATROPINE(10MG),Anaesthetics/Anxiolytics/Emergency Drugs,₦500.00,₦500.00,₦500.00
63,EPHEDRINE INJ,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,500.00","₦2,500.00","₦2,500.00"
64,INJ PHENOBARBITAL,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,500.00","₦1,500.00","₦1,500.00"
65,TAB LEVOFLOXACIN,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,300.00","₦1,300.00","₦1,300.00"
66,TABS AMITRIPTYLLINE,Anaesthetics/Anxiolytics/Emergency Drugs,N/A,N/A,N/A
67,SUSPENSION CLARTEM(180/1080),Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,500.00","₦1,500.00","₦1,500.00"
68,ARTESUNATE IV(30MG),Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,300.00","₦1,300.00","₦1,300.00"
69,ROCEPHINE(1G),Anaesthetics/Anxiolytics/Emergency Drugs,"₦6,000.00","₦6,000.00","₦6,000.00"
70,OMEPRAZOLE INJ (40MG),Anaesthetics/Anxiolytics/Emergency Drugs,"₦3,000.00","₦3,000.00","₦3,000.00"
71,ARTHEMETER INJ (80MG),Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,500.00","₦1,500.00","₦1,500.00"
72,DICLOFENAC TAB (50MG),Anaesthetics/Anxiolytics/Emergency Drugs,₦500.00,₦500.00,₦500.00
73,TAB LEXOTAN,Anaesthetics/Anxiolytics/Emergency Drugs,₦200.00,₦200.00,₦200.00
74,OMEPRAZOLE 20MG TAB,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,500.00","₦1,500.00","₦1,500.00"
75,AUGMENTIN TAB,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
76,0.9% SALINE,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,500.00","₦1,500.00","₦1,500.00"
77,NEBULIZATION,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
78,PLATELET TRANSFUSION,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
79,IUD REMOVAL,Anaesthetics/Anxiolytics/Emergency Drugs,"₦3,000.00","₦3,000.00","₦3,000.00"
80,TAB IVERMECTIN,Anaesthetics/Anxiolytics/Emergency Drugs,₦100.00,₦100.00,₦100.00
81,OMEPRAZOLE(GETSOME),Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,500.00","₦1,500.00","₦1,500.00"
82,VITAMIN C SYRUP,Anaesthetics/Anxiolytics/Emergency Drugs,₦800.00,₦800.00,₦800.00
83,IVERMECTIN DISPERSIBLE,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
84,CO AMOXICLAV 625MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦3,000.00","₦3,000.00","₦3,000.00"
85,MENTHODEX 100ML,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,500.00","₦1,500.00","₦1,500.00"
86,TAB PIRITON,Anaesthetics/Anxiolytics/Emergency Drugs,₦300.00,₦300.00,₦300.00
87,LONART DS .,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,500.00","₦2,500.00","₦2,500.00"
88,ZITHROMAX,Anaesthetics/Anxiolytics/Emergency Drugs,"₦4,500.00","₦4,500.00","₦4,500.00"
89,MECTIZAN,Anaesthetics/Anxiolytics/Emergency Drugs,₦100.00,₦100.00,₦100.00
90,VITAMIN C 200MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,000.00","₦2,000.00","₦2,000.00"
91,ROCEPHINE 1G,Anaesthetics/Anxiolytics/Emergency Drugs,"₦6,000.00","₦6,000.00","₦6,000.00"
92,HCQS,Anaesthetics/Anxiolytics/Emergency Drugs,"₦4,000.00","₦4,000.00","₦4,000.00"
93,TAB PLASIL,Anaesthetics/Anxiolytics/Emergency Drugs,₦300.00,₦300.00,₦300.00
94,LONART DS,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,500.00","₦2,500.00","₦2,500.00"
95,HYDROCORTISONE INJ 100MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
96,COCODAMOL(30/500MG)/TAB,Anaesthetics/Anxiolytics/Emergency Drugs,₦300.00,₦300.00,₦300.00
97,tab azithromycin 500mg,Anaesthetics/Anxiolytics/Emergency Drugs,"₦3,000.00","₦3,000.00","₦3,000.00"
98,TAB PARACETAMO 500MG,Anaesthetics/Anxiolytics/Emergency Drugs,N/A,N/A,N/A
99,PARACETAMOL TAB (COUNTING),Anaesthetics/Anxiolytics/Emergency Drugs,N/A,N/A,N/A
100,VOARTHEM INJ,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,500.00","₦1,500.00","₦1,500.00"
101,FLUCONAZOLE SUS,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
102,TAB OFLOMED;OFLOXACIN,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,500.00","₦1,500.00","₦1,500.00"
103,ASCOREX EXPECTORANT,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,200.00","₦1,200.00","₦1,200.00"
104,"INJ EMAL, 75MG",Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,500.00","₦2,500.00","₦2,500.00"
105,DIFLUCAN 50MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,200.00","₦2,200.00","₦2,200.00"
106,FLUCONAZOLE 50MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,500.00","₦1,500.00","₦1,500.00"
107,10% DEXTROSE WATER,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
108,MICONAZOLE,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
109,CAFERGOT,Anaesthetics/Anxiolytics/Emergency Drugs,₦200.00,₦200.00,₦200.00
110,TABS LONART D S,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,500.00","₦2,500.00","₦2,500.00"
111,TAB GLUCOPHAGE(500MG)/CARD,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,000.00","₦2,000.00","₦2,000.00"
112,INJECTION EMAL (150MG),Anaesthetics/Anxiolytics/Emergency Drugs,"₦4,000.00","₦4,000.00","₦4,000.00"
113,CONSUMABLES(SYRINGES),Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
114,LYRICA,Anaesthetics/Anxiolytics/Emergency Drugs,"₦10,000.00","₦10,000.00","₦10,000.00"
115,COCODAMOL 30,Anaesthetics/Anxiolytics/Emergency Drugs,₦200.00,₦200.00,₦200.00
116,tabs flagyl (400mg),Anaesthetics/Anxiolytics/Emergency Drugs,₦500.00,₦500.00,₦500.00
117,PENTA,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,500.00","₦2,500.00","₦2,500.00"
118,TABS METRONIDZOLE 400MG,Anaesthetics/Anxiolytics/Emergency Drugs,₦500.00,₦500.00,₦500.00
119,DICLO INJ 75MG,Anaesthetics/Anxiolytics/Emergency Drugs,₦500.00,₦500.00,₦500.00
120,OMEFAST 20MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,500.00","₦1,500.00","₦1,500.00"
121,PREDNISOLONE TAB,Anaesthetics/Anxiolytics/Emergency Drugs,₦150.00,₦150.00,₦150.00
122,lonart d-s,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,500.00","₦2,500.00","₦2,500.00"
123,ORS SATCHET,Anaesthetics/Anxiolytics/Emergency Drugs,₦200.00,₦200.00,₦200.00
124,INJECTION HYDROCORTISONE,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
125,ZOLON ULSAKIT,Anaesthetics/Anxiolytics/Emergency Drugs,"₦7,000.00","₦7,000.00","₦7,000.00"
126,CIPROTAB TN,Anaesthetics/Anxiolytics/Emergency Drugs,"₦3,000.00","₦3,000.00","₦3,000.00"
127,AMATEM SOFT GEL 20/120,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,200.00","₦1,200.00","₦1,200.00"
128,IM EMAL 150MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦4,000.00","₦4,000.00","₦4,000.00"
129,IV ARTESUNATE(120MG).,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,000.00","₦2,000.00","₦1,800.00"
130,FRUSEMIDE TAB (TORSEMIDE),Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,500.00","₦2,500.00","₦2,500.00"
131,GAVISCON LIQUID,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
132,SUPP. DICLOFENAC 50MG,Anaesthetics/Anxiolytics/Emergency Drugs,₦700.00,₦700.00,₦700.00
133,TRAMADOL INJ,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
134,MYCOTEN VAGINAL PESSARIES,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,000.00","₦2,000.00","₦2,000.00"
135,ALBENDAZOLE (ZOLAT),Anaesthetics/Anxiolytics/Emergency Drugs,₦500.00,₦500.00,₦500.00
136,SUPP. DICLOFENAC 12.5MG,Anaesthetics/Anxiolytics/Emergency Drugs,₦500.00,₦500.00,₦500.00
137,FRUSEMIDE INJ 20MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
138,GLUCOPHAGE 500MG (PER CARD),Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,000.00","₦2,000.00","₦2,000.00"
139,ADRENALIN INJECTION 1MG/1ML,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
140,cannula blue,Anaesthetics/Anxiolytics/Emergency Drugs,"₦3,080.00","₦3,080.00","₦3,080.00"
141,hypodermic needles 21g,Anaesthetics/Anxiolytics/Emergency Drugs,₦780.00,₦780.00,₦780.00
142,plaster yellow blue 7.5cm x 5m 4inc,Anaesthetics/Anxiolytics/Emergency Drugs,₦670.00,₦670.00,₦670.00
143,CANNULA YELLOW,Anaesthetics/Anxiolytics/Emergency Drugs,"₦3,910.00","₦3,910.00","₦3,910.00"
144,TYPOID VACCINE,Anaesthetics/Anxiolytics/Emergency Drugs,"₦10,000.00","₦10,000.00","₦10,000.00"
145,COCODAMOL 30/500,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,500.00","₦1,500.00","₦1,500.00"
146,AUGMENTIN 625 TAB,Anaesthetics/Anxiolytics/Emergency Drugs,"₦6,360.00","₦6,360.00","₦6,360.00"
147,LONART DS 80/480,Anaesthetics/Anxiolytics/Emergency Drugs,"₦3,500.00","₦3,500.00","₦3,500.00"
148,ULSAKIT 1,Anaesthetics/Anxiolytics/Emergency Drugs,"₦8,500.00","₦8,500.00","₦8,500.00"
149,ELICORID 2,Anaesthetics/Anxiolytics/Emergency Drugs,"₦30,000.00","₦30,000.00","₦30,000.00"
150,CEFUROXIME( AXETIL),Anaesthetics/Anxiolytics/Emergency Drugs,"₦3,500.00","₦3,500.00","₦3,500.00"
151,IBUPROFEN 400MG (NOUMED),Anaesthetics/Anxiolytics/Emergency Drugs,"₦4,000.00","₦4,000.00","₦4,000.00"
152,FUCONAZOLE 50MG (FLUCAMED),Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,500.00","₦1,500.00","₦1,500.00"
153,MYCOTEN CREAM 20G,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
154,OMEPRAZOLE 20MG(GASTRO-),Anaesthetics/Anxiolytics/Emergency Drugs,"₦3,500.00","₦3,500.00","₦3,500.00"
155,COARTEM 80/480MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦3,000.00","₦3,000.00","₦3,000.00"
156,LEVOFLOXACIN 500MG (TERLEV),Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,800.00","₦1,800.00","₦1,800.00"
157,CO-AMOXICLAV 500/125,Anaesthetics/Anxiolytics/Emergency Drugs,"₦3,000.00","₦3,000.00","₦3,000.00"
158,ARTESUNATE 120MG (INJ),Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,500.00","₦2,500.00","₦2,500.00"
159,ARTESUNATE 60MG(INJ),Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,000.00","₦2,000.00","₦2,000.00"
160,ARTESUNATE 30(INJ),Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,500.00","₦1,500.00","₦1,500.00"
161,ROCEPHIN 1G(INJ),Anaesthetics/Anxiolytics/Emergency Drugs,"₦8,000.00","₦8,000.00","₦8,000.00"
162,IBUPROFEN 400MG,Anaesthetics/Anxiolytics/Emergency Drugs,₦500.00,₦500.00,₦500.00
163,CEFUROXIME 500MG (FIDSON),Anaesthetics/Anxiolytics/Emergency Drugs,"₦4,500.00","₦4,500.00","₦4,500.00"
164,ROCEPHIN INJ,Anaesthetics/Anxiolytics/Emergency Drugs,"₦6,000.00","₦6,000.00","₦6,000.00"
165,GALVUSMET(TAB),Anaesthetics/Anxiolytics/Emergency Drugs,"₦35,000.00","₦35,000.00","₦35,000.00"
166,AMOXICLAV 1.2MG (INJ),Anaesthetics/Anxiolytics/Emergency Drugs,"₦3,000.00","₦3,000.00","₦3,000.00"
167,PARACETAMOL SYR (M&B),Anaesthetics/Anxiolytics/Emergency Drugs,₦500.00,₦500.00,₦500.00
168,ELICORID 42TABS,Anaesthetics/Anxiolytics/Emergency Drugs,"₦25,000.00","₦25,000.00","₦25,000.00"
169,CALCIUM TAB (CTING),Anaesthetics/Anxiolytics/Emergency Drugs,N/A,N/A,N/A
170,CALCIUM TAB (PACK),Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,500.00","₦1,500.00","₦1,500.00"
171,NURSING CARE (VIP ROOM),Anaesthetics/Anxiolytics/Emergency Drugs,"₦25,000.00","₦25,000.00","₦25,000.00"
172,NURSING CARE STAT (VIP ROOM),Anaesthetics/Anxiolytics/Emergency Drugs,"₦15,000.00","₦15,000.00","₦15,000.00"
173,TAB ARTHROTEC 75MG/200MCG (1 TAB),Anaesthetics/Anxiolytics/Emergency Drugs,₦250.00,₦250.00,₦250.00
174,CIPROFLOXACIN 500MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦3,500.00","₦3,500.00","₦3,500.00"
175,FLUCAMED 50MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,200.00","₦1,200.00","₦1,200.00"
176,ASCOREX 100ML (SYR),Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,300.00","₦1,300.00","₦1,300.00"
177,ASCOREX (100ML),Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,500.00","₦1,500.00","₦1,500.00"
178,COUGH SYR (CHILDREN),Anaesthetics/Anxiolytics/Emergency Drugs,₦500.00,₦500.00,₦500.00
179,METRONIDAZOLE INFUSION,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
180,FLAGYL 400MG,Anaesthetics/Anxiolytics/Emergency Drugs,₦500.00,₦500.00,₦500.00
181,NORMAL SALINE 500ML,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,000.00","₦2,000.00","₦2,000.00"
182,DOXYCYLINE 100MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
183,TAB OMEFAST 20MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,600.00","₦1,600.00","₦1,600.00"
184,AMOXICILLIN 500MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,500.00","₦1,500.00","₦1,500.00"
185,D SALINE 5%,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,000.00","₦2,000.00","₦2,000.00"
186,TAB LISINOPRIL 5MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,000.00","₦2,000.00","₦2,000.00"
187,TAB LEXOTAN 3MG (1CARD),Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
188,TAB PCM (CUNTING),Anaesthetics/Anxiolytics/Emergency Drugs,N/A,N/A,N/A
189,VACCINE  MMR,Anaesthetics/Anxiolytics/Emergency Drugs,"₦10,000.00","₦10,000.00","₦10,000.00"
190,COARTEM 80/480,Anaesthetics/Anxiolytics/Emergency Drugs,"₦3,000.00","₦3,000.00","₦3,000.00"
191,PREDNISOLONE,Anaesthetics/Anxiolytics/Emergency Drugs,₦300.00,₦300.00,₦300.00
192,HYDROCORT,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
193,CIPROTAB 500MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦3,500.00","₦3,500.00","₦3,500.00"
194,TAB COCODAMOL 8/500,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,000.00","₦2,000.00","₦2,000.00"
195,MYCOTEN CREAM FOR VIP,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,000.00","₦2,000.00","₦2,000.00"
196,ARTHEMETER INJ 80MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦3,000.00","₦3,000.00","₦3,000.00"
197,COCODAMOL TAB 8/500,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,000.00","₦2,000.00","₦2,000.00"
198,CYPLOX 500MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,500.00","₦1,500.00","₦1,500.00"
199,PIRITON 4MG TAB,Anaesthetics/Anxiolytics/Emergency Drugs,₦250.00,₦250.00,₦250.00
200,AMOXICLAV 625MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦4,500.00","₦4,500.00","₦4,500.00"
201,TAB GESTID/CARD,Anaesthetics/Anxiolytics/Emergency Drugs,₦200.00,₦200.00,₦200.00
202,HEPATITIS B VACCINE,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,500.00","₦2,500.00","₦2,500.00"
203,FLEMING 457MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦3,650.00","₦3,650.00","₦3,650.00"
204,ARTHEGET 80/480MG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦3,000.00","₦3,000.00","₦3,000.00"
205,IVERMENTIN 12MG/ CARD,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
206,EAR PIERCING,Anaesthetics/Anxiolytics/Emergency Drugs,"₦3,000.00","₦3,000.00","₦3,000.00"
207,CONSUMABLES( UP TO 5 SYRINGES AND CANULARS),Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,500.00","₦1,500.00","₦1,500.00"
208,"CONSUMABLES(SYRINGES, CANULARS AND GIVING SET)",Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
209,FUNGUSOL,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,000.00","₦1,000.00","₦1,000.00"
210,PROCEDURE FOR URINE SAMPLE COLLECTION,Anaesthetics/Anxiolytics/Emergency Drugs,"₦10,000.00","₦10,000.00","₦10,000.00"
211,OMEPRAZOLE PER TAB,Anaesthetics/Anxiolytics/Emergency Drugs,N/A,N/A,N/A
212,FLAGYL 4OOMG,Anaesthetics/Anxiolytics/Emergency Drugs,₦500.00,₦500.00,₦500.00
213,TAB LORATADINE 10MG /CARD,Anaesthetics/Anxiolytics/Emergency Drugs,₦700.00,₦700.00,₦700.00
214,TAB CIPROTAB,Anaesthetics/Anxiolytics/Emergency Drugs,"₦3,500.00","₦3,500.00","₦3,500.00"
